lcstr,lcseq,gst,jaro,jaro_w,monge,levenshtein,jaccard_n_1,dice_n_1,overlap_n_1,cosine_n_1,jaccard_n_2,dice_n_2,overlap_n_2,cosine_n_2,jaccard_n_3,dice_n_3,overlap_n_3,cosine_n_3,jaccard_n_4,dice_n_4,overlap_n_4,cosine_n_4,jaccard_n_5,dice_n_5,overlap_n_5,cosine_n_5,jaccard_n_1_spacy,dice_n_1_spacy,overlap_n_1_spacy,cosine_n_1_spacy,jaccard_n_2_spacy,dice_n_2_spacy,overlap_n_2_spacy,cosine_n_2_spacy,jaccard_n_3_spacy,dice_n_3_spacy,overlap_n_3_spacy,cosine_n_3_spacy,jaccard_n_4_spacy,dice_n_4_spacy,overlap_n_4_spacy,cosine_n_4_spacy,jaccard_n_5_spacy,dice_n_5_spacy,overlap_n_5_spacy,cosine_n_5_spacy,wup,path,lch,lin,jaccard_n_1_stop,dice_n_1_stop,overlap_n_1_stop,cosine_n_1_stop,jaccard_n_2_stop,dice_n_2_stop,overlap_n_2_stop,cosine_n_2_stop,jaccard_n_3_stop,dice_n_3_stop,overlap_n_3_stop,cosine_n_3_stop,jaccard_n_4_stop,dice_n_4_stop,overlap_n_4_stop,cosine_n_4_stop,jaccard_n_5_stop,dice_n_5_stop,overlap_n_5_stop,cosine_n_5_stop,jaccard_n_1_stem,dice_n_1_stem,overlap_n_1_stem,cosine_n_1_stem,jaccard_n_2_stem,dice_n_2_stem,overlap_n_2_stem,cosine_n_2_stem,jaccard_n_3_stem,dice_n_3_stem,overlap_n_3_stem,cosine_n_3_stem,jaccard_n_4_stem,dice_n_4_stem,overlap_n_4_stem,cosine_n_4_stem,jaccard_n_5_stem,dice_n_5_stem,overlap_n_5_stem,cosine_n_5_stem,jaccard_wd,dice_wd,overlap_wd,cosine_wd,wup_wd_s,path_wd_s,lch_wd_s,lin_wd_s,file,gs
75,105,0.7380073800738007,0.865224923920576,0.9191349543523456,0.0063691650230111,104,0.5483870967741935,0.7083333333333334,0.7727272727272727,0.7108057085060271,0.3783783783783784,0.5490196078431373,0.6086956521739131,0.5516772843673704,0.3243243243243243,0.4897959183673469,0.5454545454545454,0.4923659639173309,0.3055555555555556,0.4680851063829787,0.5238095238095238,0.4707565417620041,0.2857142857142857,0.4444444444444444,0.5,0.4472135954999579,0.5625,0.72,0.9,0.7348469228349535,0.5333333333333333,0.6956521739130435,0.8888888888888888,0.7126966450997984,0.5,0.6666666666666666,0.875,0.6864064729836442,0.4615384615384615,0.631578947368421,0.8571428571428571,0.6546536707079772,0.4166666666666666,0.5882352941176471,0.8333333333333334,0.6154574548966636,9.39964349376114,8.495833333333334,25.84414448062113,6.706809632244157,0.5,0.6666666666666666,0.7,0.6674238124719146,0.2631578947368421,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.2222222222222222,0.3636363636363636,0.3636363636363636,0.3636363636363636,0.1764705882352941,0.3,0.3,0.3,0.125,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.5625,0.72,0.9,0.7348469228349535,0.2105263157894736,0.3478260869565217,0.4444444444444444,0.3563483225498992,0.1052631578947368,0.1904761904761904,0.25,0.196116135138184,0.0555555555555555,0.1052631578947368,0.1428571428571428,0.1091089451179962,0.0,0.0,0.0,0.0,0.5625,0.72,0.9,0.7348469228349535,9.023809523809524,8.343867243867244,24.687567458449493,6.438584546210887,MSRpar,4.0
24,53,0.6708860759493671,0.7389722028203477,0.8433833216922086,0.0158730158730158,50,0.4444444444444444,0.6153846153846154,0.7272727272727273,0.6227991553292184,0.1363636363636363,0.24,0.3,0.2449489742783178,0.0454545454545454,0.0869565217391304,0.1111111111111111,0.0890870806374748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.6153846153846154,0.8,0.6324555320336759,0.2222222222222222,0.3636363636363636,0.5,0.3779644730092272,0.125,0.2222222222222222,0.3333333333333333,0.2357022603955158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5267857142857135,4.492857142857144,15.490310790397965,4.224677410917855,0.375,0.5454545454545454,0.6,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.6153846153846154,0.8,0.6324555320336759,0.0999999999999999,0.1818181818181818,0.25,0.1889822365046136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.6153846153846154,0.8,0.6324555320336759,4.970508658008658,4.379383116883117,14.469700625968144,3.2335105306739638,MSRpar,3.75
27,56,0.4648648648648649,0.7822033527793777,0.7822033527793777,0.0109890109890109,39,0.3636363636363636,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.2142857142857143,0.3529411764705882,0.375,0.3535533905932738,0.1034482758620689,0.1875,0.2,0.1878672873255448,0.0714285714285714,0.1333333333333333,0.1428571428571428,0.1336306209562122,0.037037037037037,0.0714285714285714,0.0769230769230769,0.0716114874039433,0.3846153846153846,0.5555555555555556,0.625,0.5590169943749475,0.0666666666666666,0.125,0.1428571428571428,0.1259881576697424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.003508771929824,5.863095238095238,23.90326634863031,6.756503495444608,0.2857142857142857,0.4444444444444444,0.6666666666666666,0.4714045207910317,0.0999999999999999,0.1818181818181818,0.25,0.1889822365046136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3846153846153846,0.5555555555555556,0.625,0.5590169943749475,0.0666666666666666,0.125,0.1428571428571428,0.1259881576697424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3846153846153846,0.5555555555555556,0.625,0.5590169943749475,5.977170868347338,5.478571428571429,21.96356745957427,5.51533003359116,MSRpar,2.8
129,133,0.8338557993730408,0.901976029674494,0.9411856178046965,0.0074074074074074,133,0.6551724137931034,0.7916666666666666,0.95,0.8028965419920907,0.6,0.75,0.9,0.760638829255665,0.5862068965517242,0.7391304347826086,0.8947368421052632,0.7505683356701914,0.5714285714285714,0.7272727272727273,0.8888888888888888,0.7396002616336388,0.5555555555555556,0.7142857142857143,0.8823529411764706,0.7276068751089989,0.6470588235294117,0.7857142857142857,0.9166666666666666,0.7938566201357354,0.625,0.7692307692307693,0.9090909090909092,0.778498944161523,0.6,0.75,0.9,0.760638829255665,0.5714285714285714,0.7272727272727273,0.8888888888888888,0.7396002616336388,0.5384615384615384,0.7,0.875,0.7144345083117604,12.586324786324786,11.500595238095237,36.71920220286729,9.956504132675835,0.6,0.75,1.0,0.7745966692414834,0.5555555555555556,0.7142857142857143,1.0,0.7453559924999299,0.5,0.6666666666666666,1.0,0.7071067811865475,0.4285714285714286,0.6,1.0,0.6546536707079772,0.3333333333333333,0.5,1.0,0.5773502691896258,0.6470588235294117,0.7857142857142857,0.9166666666666666,0.7938566201357354,0.2380952380952381,0.3846153846153846,0.4545454545454545,0.3892494720807615,0.0909090909090909,0.1666666666666666,0.2,0.1690308509457033,0.0476190476190476,0.0909090909090909,0.1111111111111111,0.0924500327042048,0.0,0.0,0.0,0.0,0.6470588235294117,0.7857142857142857,0.9166666666666666,0.7938566201357354,12.065151515151516,11.3607017982018,32.05548096061779,8.304037111638795,MSRpar,3.4
20,54,0.5076142131979695,0.6965010351966874,0.6965010351966874,0.0093424036281179,44,0.25,0.4,0.4375,0.401477534273483,0.0303030303030302,0.0588235294117647,0.0625,0.0589255650988789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571429,0.25,0.2727272727272727,0.2508726030021272,0.0476190476190476,0.0909090909090909,0.1,0.0912870929175276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796520146520146,5.505357142857143,24.618415122760908,6.308372044465333,0.3333333333333333,0.5,0.6666666666666666,0.5163977794943222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571429,0.25,0.2727272727272727,0.2508726030021272,0.0476190476190476,0.0909090909090909,0.1,0.0912870929175276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.1666666666666666,0.1818181818181818,0.1672484020014181,4.101190476190476,2.8644411144411146,15.603509971915106,2.671553526257452,MSRpar,2.4
12,46,0.5202312138728323,0.647638217928073,0.647638217928073,0.0105166895290352,26,0.1999999999999999,0.3333333333333333,0.3529411764705882,0.3338489304447943,0.0294117647058823,0.0571428571428571,0.0588235294117647,0.0571661950475029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.2857142857142857,0.3,0.2860387767736776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.255033416875522,3.818223443223443,18.13306477279552,4.485468946474609,0.2222222222222222,0.3636363636363636,0.5,0.3779644730092272,0.125,0.2222222222222222,0.3333333333333333,0.2357022603955158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.2857142857142857,0.3,0.2860387767736776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.2857142857142857,0.3,0.2860387767736776,4.124871001031991,3.393668831168831,14.049545285123717,3.452473178078738,MSRpar,1.333
17,77,0.457516339869281,0.743570992246294,0.743570992246294,0.0067111029948867,40,0.4117647058823529,0.5833333333333334,0.6666666666666666,0.5879447357921312,0.0888888888888889,0.1632653061224489,0.1739130434782608,0.1635721640219061,0.0212765957446808,0.0416666666666666,0.0434782608695652,0.0417028828114149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3809523809523809,0.5517241379310345,0.6153846153846154,0.5547001962252291,0.0799999999999999,0.1481481481481481,0.1666666666666666,0.1490711984999859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.065517196941345,9.210119047619049,36.71754890693843,9.422090554731207,0.4166666666666666,0.5882352941176471,0.7142857142857143,0.5976143046671968,0.0625,0.1176470588235294,0.125,0.1178511301977579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3809523809523809,0.5517241379310345,0.6153846153846154,0.5547001962252291,0.125,0.2222222222222222,0.25,0.2236067977499789,0.0416666666666666,0.08,0.0909090909090909,0.080582296402538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3809523809523809,0.5517241379310345,0.6153846153846154,0.5547001962252291,9.097150072150072,6.913690476190476,31.215226321672453,6.720766640832951,MSRpar,4.6
36,83,0.7033898305084746,0.758886937859721,0.758886937859721,0.0098039215686274,67,0.5925925925925926,0.7441860465116279,0.8,0.746003846592251,0.3125,0.4761904761904761,0.5263157894736842,0.4783648732349398,0.2121212121212121,0.35,0.3888888888888889,0.3517632353407242,0.1515151515151515,0.2631578947368421,0.2941176470588235,0.2646280620124815,0.125,0.2222222222222222,0.25,0.2236067977499789,0.5384615384615384,0.7,0.7777777777777778,0.7035264706814485,0.3846153846153846,0.5555555555555556,0.625,0.5590169943749475,0.2307692307692307,0.375,0.4285714285714285,0.3779644730092272,0.1666666666666666,0.2857142857142857,0.3333333333333333,0.2886751345948129,0.0909090909090909,0.1666666666666666,0.2,0.1690308509457033,8.859056011068395,7.559890109890111,26.1000082169297,7.280215697829993,0.7,0.8235294117647058,0.875,0.8249579113843055,0.3333333333333333,0.5,0.5714285714285714,0.5039526306789696,0.2727272727272727,0.4285714285714285,0.5,0.4330127018922193,0.1999999999999999,0.3333333333333333,0.4,0.3380617018914066,0.1111111111111111,0.2,0.25,0.2041241452319315,0.5384615384615384,0.7,0.7777777777777778,0.7035264706814485,0.2857142857142857,0.4444444444444444,0.5,0.4472135954999579,0.1428571428571429,0.25,0.2857142857142857,0.2519763153394848,0.0769230769230768,0.1428571428571428,0.1666666666666666,0.1443375672974064,0.0,0.0,0.0,0.0,0.5384615384615384,0.7,0.7777777777777778,0.7035264706814485,8.246033086280764,7.382954545454545,24.59186981553689,6.664643754432533,MSRpar,3.8
30,76,0.7142857142857143,0.7375724957816883,0.7375724957816883,0.0090059759279521,62,0.5454545454545454,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.2692307692307693,0.4242424242424242,0.4375,0.4244373438135827,0.1481481481481481,0.2580645161290322,0.2666666666666666,0.2581988897471611,0.074074074074074,0.1379310344827586,0.1428571428571428,0.1380131118684708,0.0,0.0,0.0,0.0,0.5384615384615384,0.7,0.7777777777777778,0.7035264706814485,0.1999999999999999,0.3333333333333333,0.375,0.3354101966249684,0.0666666666666666,0.125,0.1428571428571428,0.1259881576697424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.656787330316742,7.341666666666667,27.387267621168547,7.551118597140537,0.5714285714285714,0.7272727272727273,0.8,0.7302967433402214,0.1111111111111111,0.2,0.25,0.2041241452319315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.7,0.7777777777777778,0.7035264706814485,0.125,0.2222222222222222,0.25,0.2236067977499789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.7,0.7777777777777778,0.7035264706814485,6.663547237076649,6.258333333333333,23.632874035851408,6.392256825496934,MSRpar,4.2
23,69,0.6153846153846154,0.7401196566580689,0.8440717939948413,0.0088495575221238,52,0.4230769230769231,0.5945945945945946,0.6111111111111112,0.5948118774794626,0.125,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0625,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.5,0.5,0.0555555555555555,0.1052631578947368,0.1111111111111111,0.1054092553389459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.956862745098039,5.375,13.884231068980736,3.563858102196986,0.5,0.6666666666666666,0.7142857142857143,0.6681531047810609,0.3,0.4615384615384615,0.5,0.4629100498862757,0.0999999999999999,0.1818181818181818,0.2,0.1825741858350553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.5,0.5,0.0588235294117647,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.5,0.5,5.9,5.372377622377622,12.605240724908017,3.16888682409139,MSRpar,2.6
